Order,Family,Subfamily,Genus,Species,Type Species?,Exemplar Accession Number,Exemplar Isolate,Genome Composition,Last Change,MSL of Last Change,Proposal,Taxon History URL
Caudovirales,Myoviridae,Eucampyvirinae,Cp220virus,Campylobacter virus CP21,0,HE815464,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150005
Caudovirales,Myoviridae,Eucampyvirinae,Cp220virus,Campylobacter virus CP220,1,FN667788,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150006
Caudovirales,Myoviridae,Eucampyvirinae,Cp220virus,Campylobacter virus CPt10,0,FN667789,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150007
Caudovirales,Myoviridae,Eucampyvirinae,Cp220virus,Campylobacter virus IBB35,0,HM246720,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150008
Caudovirales,Myoviridae,Eucampyvirinae,Cp8virus,Campylobacter virus CP81,1,FR823450,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150010
Caudovirales,Myoviridae,Eucampyvirinae,Cp8virus,Campylobacter virus CPX,0,JN132397,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150011
Caudovirales,Myoviridae,Eucampyvirinae,Cp8virus,Campylobacter virus NCTC12673,0,GU296433,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150012
Caudovirales,Myoviridae,Peduovirinae,Hp1virus,Aeromonas virus phiO18P,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150015
Caudovirales,Myoviridae,Peduovirinae,Hp1virus,Haemophilus virus HP1,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150016
Caudovirales,Myoviridae,Peduovirinae,Hp1virus,Haemophilus virus HP2,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150017
Caudovirales,Myoviridae,Peduovirinae,Hp1virus,Pasteurella virus F108,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150018
Caudovirales,Myoviridae,Peduovirinae,Hp1virus,Vibrio virus K139,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150019
Caudovirales,Myoviridae,Peduovirinae,Hp1virus,Vibrio virus Kappa,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150020
Caudovirales,Myoviridae,Peduovirinae,P2virus,Burkholderia virus phi52237,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150022
Caudovirales,Myoviridae,Peduovirinae,P2virus,Burkholderia virus phiE122,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150024
Caudovirales,Myoviridae,Peduovirinae,P2virus,Burkholderia virus phiE202,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150023
Caudovirales,Myoviridae,Peduovirinae,P2virus,Escherichia virus 186,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150025
Caudovirales,Myoviridae,Peduovirinae,P2virus,Escherichia virus P2,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150026
Caudovirales,Myoviridae,Peduovirinae,P2virus,Escherichia virus Wphi,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150028
Caudovirales,Myoviridae,Peduovirinae,P2virus,Mannheimia virus MhaA1- PHL101,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150029
Caudovirales,Myoviridae,Peduovirinae,P2virus,Pseudomonas virus phiCTX,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150030
Caudovirales,Myoviridae,Peduovirinae,P2virus,Ralstonia virus RSA1,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150031
Caudovirales,Myoviridae,Peduovirinae,P2virus,Salmonella virus Fels2,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150032
Caudovirales,Myoviridae,Peduovirinae,P2virus,Salmonella virus PsP3,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150027
Caudovirales,Myoviridae,Peduovirinae,P2virus,Salmonella virus SopEphi,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150033
Caudovirales,Myoviridae,Peduovirinae,P2virus,Yersinia virus L413C,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150034
Caudovirales,Myoviridae,Spounavirinae,Kayvirus,Staphylococcus virus G1,0,,,dsDNA,"Renamed,Moved,",30,2015.005a-gB.A.v3.Kayvirus,ICTVonline=20150041
Caudovirales,Myoviridae,Spounavirinae,Kayvirus,Staphylococcus virus G15,0,JQ686190,Staphylococcus phage G15,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus,ICTVonline=20150228
Caudovirales,Myoviridae,Spounavirinae,Kayvirus,Staphylococcus virus JD7,0,JX878671,Staphylococcus phage JD007,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus,ICTVonline=20150225
Caudovirales,Myoviridae,Spounavirinae,Kayvirus,Staphylococcus virus K,1,,,dsDNA,"Renamed,Moved,",30,2015.005a-gB.A.v3.Kayvirus,ICTVonline=20150042
Caudovirales,Myoviridae,Spounavirinae,Kayvirus,Staphylococcus virus MCE2014,0,KJ888149,Staphylococcus phage MCE-2014,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus,ICTVonline=20150229
Caudovirales,Myoviridae,Spounavirinae,Kayvirus,Staphylococcus virus P108,0,KM216423,Staphylococcus phage P108,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus,ICTVonline=20150227
Caudovirales,Myoviridae,Spounavirinae,Kayvirus,Staphylococcus virus S253,0,AB853330,Staphylococcus phage S25-3,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus,ICTVonline=20150230
Caudovirales,Myoviridae,Spounavirinae,Kayvirus,Staphylococcus virus SA12,0,AB903967,Staphylococcus phage phiSA12,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus,ICTVonline=20150226
Caudovirales,Myoviridae,Spounavirinae,P100virus,Listeria virus A511,0,,,dsDNA,"Renamed,Moved,",30,2015.012a-dB.A.v2.P100virus,ICTVonline=20150039
Caudovirales,Myoviridae,Spounavirinae,P100virus,Listeria virus P100,1,DQ004855,Listeria phage P100,dsDNA,"Renamed,Moved,",30,2015.012a-dB.A.v2.P100virus,ICTVonline=20150040
Caudovirales,Myoviridae,Spounavirinae,Silviavirus,Staphylococcus virus Remus,1,JX846613,Staphylococcus phage vB_SauM_Remus,dsDNA,"New,",30,2015.018a-dB.A.v2.Silviavirus,ICTVonline=20150048
Caudovirales,Myoviridae,Spounavirinae,Silviavirus,Staphylococcus virus SA11,0,JX194239,Staphylococcus phage SA11,dsDNA,"New,",30,2015.018a-dB.A.v2.Silviavirus,ICTVonline=20150049
Caudovirales,Myoviridae,Spounavirinae,Spo1virus,Bacillus virus SPO1,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150037
Caudovirales,Myoviridae,Spounavirinae,Twortvirus,Staphylococcus virus Twort,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150043
