X,I,T,V
0,0.0229605639640037,399999999.977019,0.0139871835308431
0.0007,0.0458726701963327,399999999.954058,0.0139746997286251
0.0014,0.0687369221918585,399999999.931117,0.0139625476114786
0.0021,0.0915539211139651,399999999.908196,0.0139507262068701
0.0028,0.114324265812644,399999999.885294,0.0139392345515596
0.0035,0.137048552842498,399999999.86241,0.0139280716915594
0.0042,0.159727376480663,399999999.839544,0.0139172366820933
0.0049,0.182361328744633,399999999.816696,0.0139067285875569
0.0056,0.204950999410001,399999999.793864,0.013896546481477
0.0063,0.227496976028119,399999999.771049,0.0138866894464723
0.007,0.249999843943664,399999999.74825,0.0138771565742141
0.0077,0.272460186312121,399999999.725466,0.0138679469653867
0.0084,0.294878584117183,399999999.702696,0.0138590597296489
0.0091,0.317255616188062,399999999.679941,0.0138504939855955
0.0098,0.33959185921672,399999999.6572,0.0138422488607186
0.0105,0.361887887775019,399999999.634471,0.0138343234913698
0.0112,0.384144274331777,399999999.611755,0.0138267170227229
0.0119,0.406361589269757,399999999.589052,0.0138194286087355
0.0126,0.428540400902562,399999999.56636,0.0138124574121126
0.0133,0.450681275491453,399999999.543679,0.0138058026042693
0.014,0.472784777262089,399999999.521008,0.0137994633652943
0.0147,0.494851468421183,399999999.498348,0.0137934388839133
0.0154,0.516881909173081,399999999.475697,0.0137877283574531
0.0161,0.538876657736261,399999999.453055,0.0137823309918055
0.0168,0.560836270359749,399999999.430422,0.0137772460013921
0.0175,0.582761301339469,399999999.407796,0.0137724726091284
0.0182,0.604652303034502,399999999.385178,0.0137680100463893
0.0189,0.626509825883273,399999999.362567,0.0137638575529737
0.0196,0.648334418419669,399999999.339962,0.0137600143770707
0.0203,0.670126627289068,399999999.317364,0.0137564797752243
0.021,0.691886997264301,399999999.294771,0.0137532530123003
0.0217,0.713616071261541,399999999.272182,0.0137503333614521
0.0224,0.735314390356106,399999999.249598,0.013747720104087
0.0231,0.756982493798202,399999999.227018,0.0137454125298331
0.0238,0.778620919028587,399999999.204442,0.0137434099365064
0.0245,0.800230201694155,399999999.181868,0.0137417116300777
0.0252,0.821810875663462,399999999.159297,0.0137403169246404
0.0259,0.843363473042166,399999999.136727,0.0137392251423778
0.0266,0.864888524188407,399999999.11416,0.0137384356135316
0.0273,0.886386557728107,399999999.091593,0.0137379476763694
0.028,0.907858100570204,399999999.069026,0.0137377606771538
0.0287,0.929303677921818,399999999.046459,0.0137378739701108
0.0294,0.950723813303343,399999999.023892,0.0137382869173985
